Dataset,Model,app1_mean,app1_std,app2_mean,app2_std,app3_mean,app3_std,app4_mean,app4_std,app5_mean,app5_std,app6_mean,app6_std,app7_mean,app7_std,app8_mean,app8_std,app9_mean,app9_std,app10_mean,app10_std,app11_mean,app11_std
nz42.csv,PROFHiT,0.57,,0.178,,0.245,,0.139,,0.031,,0.248,,,,,,,,,,,
nz42.csv,TimesProp,0.382,0.02,0.039,0.005,0.257,0.006,0.115,0.004,0.068,0.002,0.158,0.002,,,,,,,,,,
nz42.csv,PropDir,0.468,0.006,0.009,0,0.263,0.001,0.136,0.001,0.098,0.002,0.133,0.003,,,,,,,,,,
nz43.csv,PropDir,0.223,0.001,0.088,0.001,0.116,0.002,0.015,0,0.056,0.001,0.012,0,,,,,,,,,,
nz43.csv,PROFHiT,0.52,,0.145,,0.09,,0.013,,0.104,,0.07,,,,,,,,,,,
nz43.csv,TimesProp,0.2,0.001,0.11,0.002,0.086,0.001,0.024,0.001,0.06,0.002,0.016,0,,,,,,,,,,
nz44.csv,TimesProp,0.402,0.001,0.063,0.001,0.329,0.003,0.111,0.001,0.037,0,0.048,0,,,,,,,,,,
nz44.csv,PropDir,0.519,0.001,0.061,0.001,0.352,0.001,0.216,0.004,0.035,0,0.064,0.001,,,,,,,,,,
nz44.csv,PROFHiT,1.068,,0.31,,0.739,,0.104,,0.083,,0.222,,,,,,,,,,,
nz45.csv,TimesProp,0.333,0.004,0.099,0.001,0.256,0.002,0.098,0.003,0.04,0,0.058,0.001,,,,,,,,,,
nz45.csv,PropDir,0.43,0.002,0.107,0.001,0.29,0.001,0.169,0.002,0.073,0,0.055,0.001,,,,,,,,,,
nz45.csv,PROFHiT,0.449,,0.127,,0.925,,0.068,,0.027,,0.095,,,,,,,,,,,
nz46.csv,PROFHiT,1.221,,0.67,,0.173,,0.298,,0.008,,0.086,,0.046,,0.144,,0.095,,0.128,,0.087,
nz46.csv,TimesProp,0.386,0.005,0.167,0.001,0.033,0.001,0.234,0.005,0.027,0.001,0.098,0.005,0.166,0.004,0.201,0.001,0.128,0.001,0.365,0.002,0.05,0
nz46.csv,PropDir,0.473,0.001,0.191,0.007,0.015,0,0.269,0.001,0.006,0,0.098,0.001,0.013,0.001,0.113,0.003,0.083,0.001,0.164,0.002,0.042,0
nz47.csv,TimesProp,0.105,0,0.015,0.002,0.054,0.001,0.016,0,0.012,0,0.04,0,,,,,,,,,,
nz47.csv,PropDir,0.128,0,0.003,0,0.084,0.001,0.008,0,0.012,0,0.039,0,,,,,,,,,,
nz47.csv,PROFHiT,0.409,,0.127,,0.07,,0.022,,0.025,,0.087,,,,,,,,,,,
